TITLE,Year,Value,County
Local Government per mil,2017,125771.14427860695,Yuba_County_per_mil
Civilian Employment per mil,2018,938464.0522875816,Yuba_County_per_mil
Civilian Unemployment per mil,2018,61274.509803921566,Yuba_County_per_mil
"Total, All Industries per mil",2018,593398.6928104575,Yuba_County_per_mil
Total Farm per mil,2018,24509.803921568626,Yuba_County_per_mil
Total Nonfarm per mil,2018,568888.8888888889,Yuba_County_per_mil
Goods Producing per mil,2018,60196.07843137255,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2018,37320.26143790849,Yuba_County_per_mil
Manufacturing per mil,2018,22875.81699346405,Yuba_County_per_mil
Service Providing per mil,2018,508725.4901960784,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2018,75163.39869281046,Yuba_County_per_mil
Wholesale Trade per mil,2018,6535.9477124183,Yuba_County_per_mil
Retail Trade per mil,2018,49836.60130718954,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2018,18790.84967320261,Yuba_County_per_mil
Information per mil,2018,3267.97385620915,Yuba_County_per_mil
Financial Activities per mil,2018,8986.928104575163,Yuba_County_per_mil
Professional and Business Services per mil,2018,34575.163398692814,Yuba_County_per_mil
Private Education and Health Services per mil,2018,114934.64052287582,Yuba_County_per_mil
Leisure and Hospitality per mil,2018,50098.03921568627,Yuba_County_per_mil
Other Services per mil,2018,12254.901960784313,Yuba_County_per_mil
Government per mil,2018,209411.76470588235,Yuba_County_per_mil
Federal Government per mil,2018,49281.04575163399,Yuba_County_per_mil
State Government per mil,2018,30784.3137254902,Yuba_County_per_mil
Local Government per mil,2018,129346.40522875816,Yuba_County_per_mil
Civilian Employment per mil,2019,940800.0,Yuba_County_per_mil
Civilian Unemployment per mil,2019,58656.0,Yuba_County_per_mil
"Total, All Industries per mil",2019,604000.0,Yuba_County_per_mil
Total Farm per mil,2019,22656.0,Yuba_County_per_mil
Total Nonfarm per mil,2019,581344.0,Yuba_County_per_mil
Goods Producing per mil,2019,66400.0,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2019,42144.0,Yuba_County_per_mil
Manufacturing per mil,2019,24256.0,Yuba_County_per_mil
Service Providing per mil,2019,514944.0,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2019,70944.0,Yuba_County_per_mil
Wholesale Trade per mil,2019,9344.0,Yuba_County_per_mil
Retail Trade per mil,2019,42944.0,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2019,18656.0,Yuba_County_per_mil
Information per mil,2019,3200.0,Yuba_County_per_mil
Financial Activities per mil,2019,9344.0,Yuba_County_per_mil
Professional and Business Services per mil,2019,31744.0,Yuba_County_per_mil
Private Education and Health Services per mil,2019,119200.0,Yuba_County_per_mil
Leisure and Hospitality per mil,2019,46656.0,Yuba_County_per_mil
Other Services per mil,2019,13056.0,Yuba_County_per_mil
Government per mil,2019,220800.0,Yuba_County_per_mil
Federal Government per mil,2019,48544.0,Yuba_County_per_mil
State Government per mil,2019,33600.0,Yuba_County_per_mil
Local Government per mil,2019,138656.0,Yuba_County_per_mil
Civilian Employment per mil,2020,897579.4910086491,Yuba_County_per_mil
Civilian Unemployment per mil,2020,100864.91195320764,Yuba_County_per_mil
"Total, All Industries per mil",2020,598655.9641590442,Yuba_County_per_mil
Total Farm per mil,2020,23085.060046045677,Yuba_County_per_mil
Total Nonfarm per mil,2020,575570.9041129986,Yuba_County_per_mil
Goods Producing per mil,2020,57805.98593740278,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2020,36307.63487026321,Yuba_County_per_mil
Manufacturing per mil,2020,21529.463007902435,Yuba_County_per_mil
Service Providing per mil,2020,517764.91817559575,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2020,72335.26227366063,Yuba_County_per_mil
Wholesale Trade per mil,2020,9333.582228859435,Yuba_County_per_mil
Retail Trade per mil,2020,44334.51558708232,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2020,18667.164457718874,Yuba_County_per_mil
Information per mil,2020,3111.194076286479,Yuba_County_per_mil
Financial Activities per mil,2020,9084.68670275652,Yuba_County_per_mil
Professional and Business Services per mil,2020,33196.440793976726,Yuba_County_per_mil
Private Education and Health Services per mil,2020,114336.3823035281,Yuba_County_per_mil
Leisure and Hospitality per mil,2020,40974.42598469293,Yuba_County_per_mil
Other Services per mil,2020,11915.873312177211,Yuba_County_per_mil
Government per mil,2020,232810.6527285172,Yuba_County_per_mil
Federal Government per mil,2020,47445.7096633688,Yuba_County_per_mil
State Government per mil,2020,31111.940762864782,Yuba_County_per_mil
Local Government per mil,2020,154253.00230228362,Yuba_County_per_mil
Civilian Employment per mil,2021,919491.395910383,Yuba_County_per_mil
Civilian Unemployment per mil,2021,79988.99654613809,Yuba_County_per_mil
"Total, All Industries per mil",2021,600360.6687654735,Yuba_County_per_mil
Total Farm per mil,2021,25980.377173946265,Yuba_County_per_mil
Total Nonfarm per mil,2021,574380.2915915274,Yuba_County_per_mil
Goods Producing per mil,2021,55781.398049943455,Yuba_County_per_mil
"Mining, Logging and Construction per mil",2021,34905.40086193722,Yuba_County_per_mil
Manufacturing per mil,2021,20875.99718800624,Yuba_County_per_mil
Service Providing per mil,2021,518598.8935415839,Yuba_County_per_mil
"Trade, Transportation & Utilities per mil",2021,76657.39523794969,Yuba_County_per_mil
Wholesale Trade per mil,2021,10453.281168811322,Yuba_County_per_mil
Retail Trade per mil,2021,45847.72442461106,Yuba_County_per_mil
"Transportation, Warehousing, and Utilities per mil",2021,20386.95479414372,Yuba_County_per_mil
Information per mil,2021,3056.514961640737,Yuba_County_per_mil
Financial Activities per mil,2021,8649.937341443287,Yuba_County_per_mil
